,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
0,-1.0,0.0045957233566706,0.0046062998893214,-0.0085442758642106,-0.0111168498062401,-0.0142927218030325,0.0055434473885724,0.0140844365352341,0.0119016188114061,0.0122772585287978,-0.0252201266867067,-0.0140484140883686,-0.0553535486234989,-0.3706148806892076,0.0374256963560919,-0.0131767108114519,-0.0025981163350312,-0.0032167427630973,0.0199239855849953,0.0029855497785415,1.0
1,1.0,-0.0039435333461224,-0.0039357678297068,-0.0125086911818919,-0.0221854193708869,0.0067016848364718,0.0175051898913218,0.0133261837775135,0.0123309413048672,0.0125053516388555,-0.0105201896115098,0.0908013977363266,-0.1546758390877862,-0.3079716468357914,0.1418596348252361,-0.008644050096322,-0.0098476338381807,0.0291145456556609,0.0106744105768594,0.0122524180232286,-1.0
2,1.0,0.0036470428534673,0.0036537014064697,0.0004505766975542,0.005338290470058,0.0083504620739125,0.0159020891378443,0.0126934131140525,0.0124544251226981,0.0099650706857275,-0.1140900624424902,-0.0611826980557045,0.1137782710511782,-0.285061122921863,0.0701111174594857,-0.0031965676351113,0.0048736170860053,0.0029916975467934,0.0074611857025335,0.0055778409468629,-1.0
3,1.0,-0.0013478412672931,-0.0013469333372134,0.0013013022462553,-0.0072698942202454,-0.020654710276713,-0.0225758665223917,0.0080281177756365,0.007630078543166,0.0060708595806743,0.0466219894033215,-0.0609216759866576,0.0236149025905204,-0.0749897957886317,0.0197155606614268,0.0026482975536019,-0.0085969049645466,-0.0135745536095583,-0.001963600657481,0.0093777725369026,-1.0
4,-1.0,0.0011596982070631,0.0011603709170506,0.0029813342822635,-0.0011314172080606,0.0027127780267492,-0.0165796398164098,0.0058213960164909,0.0061220180064699,0.0064011695125519,-0.2088671579245547,0.0481170518140235,-0.0830681702614166,-0.2463360447934683,0.1528638110843977,0.001817200711498,-0.0041089566622591,0.0038411628292198,-0.0194277254363459,0.0018887255949415,-1.0
5,1.0,-0.00638981941273,-0.0063694479297934,0.0045152783316448,0.0001922966333789,0.0033192465020484,0.0023965027343733,0.00585085159257,0.0060563066737164,0.00529260605588,-0.1598115517711714,0.1170995064625111,-0.0440548157597758,-0.1789214932663483,0.0464781976553055,0.0108949344570667,-0.0043128368975846,0.0031214718161809,-0.0009201142615822,0.0014531670577255,-1.0
6,-1.0,-0.0302325937117231,-0.0297801597317275,-0.0310730580079398,-0.0334980461714091,-0.0424555646512804,-0.0420435523153552,0.0093577975377812,0.0101471606580653,0.0116376720047386,-0.0329456698638462,-0.020183725417955,0.1431451915005927,0.0656057765000837,-0.0619058048050885,-0.0013334714830453,-0.0025058935904933,-0.0093111925439739,0.0004301875774928,-0.0068879458196917,-1.0
7,1.0,-0.0066625577133407,-0.0066404120851688,-0.0077139458272327,-0.005431936344427,-0.0165340015233076,-0.0074870701593391,0.0079181699812793,0.0092372848524618,0.0124068630717156,-0.3711201585839467,0.1302143449006816,-0.2374464193173283,0.1479218572005752,-0.1986616579265635,-0.0010812944907261,0.0022971092500334,-0.0112254707572709,0.0091569747529209,-0.0029980179473785,1.0
8,-1.0,-0.001666524621994,-0.0016651367409226,-0.0050293530787381,0.0031068214690674,0.0075773564731189,0.0116518780835033,0.007170391581277,0.0078084024077645,0.0084671207828649,-0.226777606212162,0.2199752162321389,0.084829056892664,-0.0309397476982069,0.0874489417450097,-0.0033755182183483,0.0081440481123866,0.0044467872376561,0.0040357251874354,-0.0073449452111251,1.0
9,1.0,0.0028721905034778,0.0028763191944711,-0.0088522793869434,-0.0125184690061846,-0.0137288620603666,-0.0070571885146966,0.0115086470018109,0.0092548607614259,0.0074499747940358,0.2889037011540102,-0.2763595595101082,-0.4038753673852717,-0.0763328376114769,0.036040009818967,-0.0117638840916782,-0.0037057915846308,-0.0012264892404854,0.0067417661615998,-0.0068671966128412,1.0
